 	0
Yitzhak	1029
Rabin	1030
White	1031
House	1032
lawn	1033
stuck	1034
views	1035
process	1036
collapsed	1037
violent	1038
intifada	1039
erupted	1040
map	1041
followed	1042
began	1043
stall	1044
arguing	1045
standing	1046
counterpart	1047
launched	1048
plan	1049
Geneva	1050
Accord	1051
raging	1052
won	1053
According	1054
Dov	1055
Weisglass	1056
adviser	1057
Ariel	1058
Sharon	1059
popularity	1060
society	1061
initiative	1062
factor	1063
prompted	1064
then	1065
ignore	1066
rage	1067
own	1068
Likud	1069
extract	1070
Israels	1071
soldiers	1072
settlers	1073
Gaza	1074
Lately	1075
courted	1076
unpopularity	1077
speaking	1078
reluctantly	1079
through	1080
third	1081
rejectionists	1082
Hamas	1083
deposed	1084
Arafats	1085
old	1086
Fatah	1087
movement	1088
control	1089
Strip	1090
daring	1091
hurt	1092
career	1093
disheartened	1094
camp	1095
lost	1096
relevance	1097
Labour	1098
ran	1099
ground	1100
defence	1101
parties	1102
appropriated	1103
Meretzs	1104
agenda	1105
partly	1106
true	1107
neglected	1108
core	1109
issues	1110
social	1111
justice	1112
rights	1113
allegedly	1114
dictatorial	1115
management	1116
style	1117
By	1118
contrast	1119
shifted	1120
hawk	1121
dove	1122
worked	1123
effortlessly	1124
centre	1125
president	1126
cannier	1127
perhaps	1128
boldest	1129
peacenik	1130
missed	1131
departure	1132
arena	1133
permanent	1134
Mwai	1135
Kibaki	1136
loth	1137
fraudulent	1138
APReuters	1139
IT	1140
SEEMED	1141
Kenya	1142
pulled	1143
nosedive	1144
violence	1145
earlier	1146
weekuntil	1147
complex	1148
towards	1149
disaster	1150
Now	1151
recalcitrance	1152
disputed	1153
egged	1154
bloodyminded	1155
backers	1156
threatens	1157
wreck	1158
east	1159
prosperous	1160
economy	1161
increases	1162
drawnout	1163
conflict	1164
Ghanas	1165
John	1166
Kufuor	1167
currently	1168
chairs	1169
Union	1170
mediate	1171
vain	1172
Despite	1173
concerted	1174
Kenyas	1175
leading	1176
editors	1177
businessmen	1178
bishops	1179
prospect	1180
compromise	1181
looks	1182
dim	1183
Raila	1184
Odinga	1185
claims	1186
cheated	1187
false	1188
count	1189
presidential	1190
poll	1191
December	1192
27th	1193
told	1194
Orange	1195
supporters	1196
put	1197
planned	1198
demonstrations	1199
order	1200
mediation	1201
continued	1202
insist	1203
agreement	1204
avoid	1205
possibility	1206
lethal	1207
street	1208
clash	1209
Oranges	1210
seen	1211
breakthrough	1212
however	1213
responded	1214
contempt	1215
Odingas	1216
climbdown	1217
unilaterally	1218
appointing	1219
17	1220
cabinet	1221
That	1222
slap	1223
diplomats	1224
deal	1225
any	1226
appointments	1227
until	1228
run	1229
course	1230
So	1231
riots	1232
broke	1233
outand	1234
deaths	1235
look	1236
certain	1237
500	1238
Kenyans	1239
Thousands	1240
wounded	1241
gunfire	1242
hacked	1243
machetes	1244
sticks	1245
scorched	1246
fires	1247
Most	1248
victims	1249
Kikuyus	1250
Kibakis	1251
tribe	1252
largest	1253
richest	1254
22	1255
Red	1256
Cross	1257
estimates	1258
200000	1259
displaced	1260
nearly	1261
ethnic	1262
reasons	1263
worry	1264
reprisals	1265
Kikuyu	1266
gangs	1267
areas	1268
predominate	1269
particularly	1270
fellow	1271
Luos	1272
feed	1273
fresh	1274
cycle	1275
bloodshed	1276
If	1277
start	1278
senior	1279
servant	1280
I	1281
you	1282
see	1283
breaking	1284
tribal	1285
factions	1286
choice	1287
reaching	1288
opposed	1289
parliamentary	1290
held	1291
sent	1292
clear	1293
message	1294
disgust	1295
corruption	1296
cronyism	1297
95	1298
210	1299
contested	1300
seats	1301
twice	1302
Party	1303
National	1304
Unity	1305
half	1306
Yet	1307
regarded	1308
venal	1309
threatened	1310
travel	1311
bans	1312
European	1313
Britain	1314
allegations	1315
Among	1316
encouraging	1317
Michuki	1318
previously	1319
internal	1320
charge	1321
roads	1322
George	1323
Saitoti	1324
goes	1325
education	1326
handle	1327
involved	1328
attempts	1329
term	1330
mercenaries	1331
media	1332
publishing	1333
stories	1334
pairs	1335
prominence	1336
suggests	1337
ready	1338
repression	1339
stay	1340
power	1341
failed	1342
discredited	1343
predecessor	1344
Daniel	1345
arap	1346
Moi	1347
three	1348
whose	1349
sons	1350
parliament	1351
Mois	1352
favourites	1353
Uhuru	1354
Kenyatta	1355
son	1356
founding	1357
named	1358
Kalonzo	1359
Musyoka	1360
Kamba	1361
distant	1362
race	1363
vicepresident	1364
winning	1365
partys	1366
muchneeded	1367
votes	1368
Daily	1369
Nation	1370
newspaper	1371
reckons	1372
darkest	1373
period	1374
1963	1375
ceased	1376
result	1377
tension	1378
worsened	1379
incendiary	1380
text	1381
messages	1382
falsely	1383
busload	1384
Luo	1385
women	1386
blown	1387
western	1388
barely	1389
cope	1390
resorting	1391
contain	1392
protesters	1393
peacefully	1394
Nairobi	1395
pollbut	1396
enough	1397
gun	1398
No	1399
went	1400
standard	1401
chant	1402
landed	1403
Protesters	1404
near	1405
smart	1406
Yaya	1407
shopping	1408
mall	1409
mile	1410
seemed	1411
poised	1412
loot	1413
started	1414
throwing	1415
stones	1416
windows	1417
petrol	1418
sisal	1419
sacks	1420
Hotheads	1421
spoke	1422
taking	1423
liberation	1424
Have	1425
ever	1426
someone	1427
cut	1428
here	1429
asked	1430
brandishing	1431
rusty	1432
spanner	1433
Thats	1434
Just	1435
William	1436
Ruto	1437
persuaded	1438
mob	1439
spreads	1440
Nairobis	1441
slums	1442
sealed	1443
hunger	1444
Kibera	1445
citys	1446
food	1447
reached	1448
prices	1449
poor	1450
possibly	1451
Children	1452
barrages	1453
teargas	1454
water	1455
wash	1456
eyes	1457
Corpses	1458
lay	1459
unclaimed	1460
fetid	1461
dust	1462
slashed	1463
Ethnic	1464
cleansing	1465
despite	1466
siege	1467
tiny	1468
shacks	1469
Ngong	1470
forest	1471
dirty	1472
bundles	1473
meagre	1474
possessions	1475
showground	1476
enter	1477
dragged	1478
anything	1479
upcountry	1480
young	1481
men	1482
Kalenjin	1483
turned	1484
neighbours	1485
Rift	1486
Valley	1487
burning	1488
occurred	1489
Eldoret	1490
buses	1491
lorries	1492
Nakuru	1493
protection	1494
conspicuously	1495
quietest	1496
highlands	1497
stretching	1498
slopes	1499
Mount	1500
About	1501
97	1502
Central	1503
Provinces	1504
voters	1505
officially	1506
plumped	1507
mainly	1508
towns	1509
Thika	1510
working	1511
offices	1512
We	1513
sure	1514
come	1515
district	1516
commissioner	1517
situation	1518
worst	1519
coffee	1520
estates	1521
isolated	1522
cant	1523
Poorer	1524
live	1525
harmoniously	1526
tribes	1527
makeshift	1528
settlements	1529
edge	1530
dont	1531
loud	1532
arrogant	1533
right	1534
rule	1535
Unsurprisingly	1536
view	1537
Were	1538
civilised	1539
minibus	1540
driver	1541
marketplace	1542
applause	1543
instability	1544
cost	1545
1	1546
billion	1547
finance	1548
ministry	1549
borrowing	1550
abroad	1551
likely	1552
rise	1553
overvalued	1554
Kenyan	1555
shilling	1556
fall	1557
tourism	1558
badly	1559
aid	1560
Planned	1561
privatisations	1562
greater	1563
scrutiny	1564
falter	1565
keep	1566
promise	1567
free	1568
sorely	1569
undermine	1570
Several	1571
Sudan	1572
Uganda	1573
landlocked	1574
rely	1575
port	1576
Mombasa	1577
trade	1578
outside	1579
jittery	1580
Its	1581
Yoweri	1582
Museveni	1583
troops	1584
protect	1585
en	1586
route	1587
Ugandan	1588
build	1589
terminal	1590
lessen	1591
dependency	1592
While	1593
refuse	1594
beacon	1595
stability	1596
sea	1597
regional	1598
turbulence	1599
tatters	1600
Jacob	1601
Zuma	1602
hopeful	1603
ONCE	1604
rough	1605
sacked	1606
Thabo	1607
Mbeki	1608
financial	1609
Schabir	1610
Shaik	1611
convicted	1612
fraud	1613
rape	1614
acquitted	1615
faced	1616
charges	1617
case	1618
kicked	1619
Prosecuting	1620
Authority	1621
veteran	1622
ridiculed	1623
vilified	1624
written	1625
politically	1626
finished	1627
unfit	1628
All	1629
buried	1630
surprisingly	1631
ruling	1632
Congress	1633
ANC	1634
remains	1635
frontrunner	1636
presidency	1637
elections	1638
virtual	1639
shooin	1640
2009	1641
rich	1642
formerly	1643
allwhite	1644
neighbourhood	1645
feels	1646
laid	1647
Local	1648
music	1649
plays	1650
background	1651
casually	1652
portrait	1653
painted	1654
goat	1655
skin	1656
towers	1657
room	1658
mezzanine	1659
Wearing	1660
elegant	1661
suit	1662
laughing	1663
engaging	1664
familiar	1665
articulate	1666
imposing	1667
friendliness	1668
bruises	1669
show	1670
offers	1671
guarded	1672
careful	1673
answers	1674
Unlike	1675
born	1676
very	1677
family	1678
KwaZulu	1679
Natal	1680
15	1681
odd	1682
widowed	1683
mother	1684
added	1685
prisoner	1686
exile	1687
Zambia	1688
Swaziland	1689
Mozambique	1690
apartheid	1691
explains	1692
rankandfile	1693
ordinary	1694
ease	1695
crowds	1696
rallies	1697
compared	1698
favourably	1699
stiff	1700
cerebral	1701
1950s	1702
teenager	1703
rose	1704
ranks	1705
intelligence	1706
underground	1707
ability	1708
listen	1709
together	1710
instrumental	1711
putting	1712
Zulu	1713
Inkatha	1714
Freedom	1715
successfully	1716
applied	1717
negotiating	1718
skills	1719
Burundi	1720
scandals	1721
investigation	1722
relating	1723
arms	1724
hangs	1725
lengthy	1726
saga	1727
translated	1728
either	1729
confirm	1730
accusations	1731
argues	1732
unfair	1733
attributes	1734
way	1735
treated	1736
Critics	1737
argue	1738
recent	1739
highlighted	1740
lapses	1741
judgement	1742
damaging	1743
admission	1744
unprotected	1745
sex	1746
HIVpositive	1747
woman	1748
taken	1749
shower	1750
limit	1751
risks	1752
infection	1753
met	1754
outrage	1755
disbelief	1756
especially	1757
headed	1758
governments	1759
antiAIDS	1760
cases	1761
tarnished	1762
damaged	1763
image	1764
broader	1765
public	1766
deliberately	1767
made	1768
joke	1769
me	1770
bitterly	1771
ardent	1772
eclectic	1773
crowd	1774
disgruntled	1775
tradeunion	1776
further	1777
maintain	1778
victim	1779
conspiracy	1780
More	1781
whether	1782
Zumas	1783
primary	1784
talent	1785
whatever	1786
hear	1787
regardless	1788
consequences	1789
gaybashing	1790
comments	1791
speech	1792
traditional	1793
values	1794
misunderstood	1795
apologised	1796
concerns	1797
enjoys	1798
unions	1799
lead	1800
shift	1801
outspokenness	1802
gregariousness	1803
above	1804
disciplined	1805
decides	1806
becomes	1807
my	1808
critical	1809
thing	1810
unity	1811
collective	1812
conference	1813
broadly	1814
endorsed	1815
current	1816
direction	1817
underpinned	1818
good	1819
macroeconomic	1820
performance	1821
explain	1822
why	1823
circles	1824
worried	1825
believe	1826
branches	1827
debating	1828
nominee	1829
dismisses	1830
nomination	1831
characteristically	1832
never	1833
refused	1834
job	1835
Syria	1836
finding	1837
flood	1838
Damascene	1839
survival	1840
DO	1841
YOU	1842
What	1843
whiteboard	1844
English	1845
lesson	1846
community	1847
Sayyida	1848
Zaynab	1849
suburb	1850
Syrias	1851
Damascus	1852
students	1853
expect	1854
requests	1855
personal	1856
data	1857
Syrian	1858
carry	1859
census	1860
neighbouring	1861
lions	1862
15m	1863
maybe	1864
10	1865
Christian	1866
account	1867
600000	1868
knows	1869
exactly	1870
survey	1871
assess	1872
refugeesand	1873
effect	1874
host	1875
19m	1876
citizens	1877
running	1878
savings	1879
slipping	1880
poverty	1881
sometimes	1882
prostitution	1883
difficult	1884
easier	1885
Kristele	1886
Younes	1887
Refugees	1888
UNs	1889
history	1890
theres	1891
urban	1892
huge	1893
proportions	1894
she	1895
speak	1896
Arabic	1897
pretty	1898
Syrians	1899
ghost	1900
shrine	1901
Prophet	1902
Muhammads	1903
granddaughter	1904
streets	1905
teem	1906
Iraqis	1907
Shops	1908
restaurants	1909
Bakery	1910
Bagdady	1911
sic	1912
sell	1913
specialities	1914
unknown	1915
agents	1916
trips	1917
pounds	1918
350000	1919
moved	1920
alone	1921
strain	1922
electricity	1923
supplies	1924
schools	1925
Crescent	1926
Office	1927
High	1928
Commissioner	1929
UNHCR	1930
opened	1931
clinic	1932
influx	1933
sick	1934
Inside	1935
packed	1936
Dr	1937
Akram	1938
alHasani	1939
orthopaedic	1940
surgeon	1941
examining	1942
Basra	1943
suffering	1944
wound	1945
ago	1946
trauma	1947
proportion	1948
congenital	1949
Jaramana	1950
Deir	1951
Ibrahim	1952
Khalil	1953
convent	1954
equally	1955
wide	1956
range	1957
Depression	1958
depression	1959
Sister	1960
Malekeh	1961
Greek	1962
Catholic	1963
nun	1964
sad	1965
psychiatrist	1966
Before	1967
didnt	1968
wouldnt	1969
1987	1970
14m	1971
Christians	1972
shrank	1973
1m	1974
demise	1975
targeted	1976
Anglican	1977
churchman	1978
125m	1979
250000	1980
behind	1981
queuing	1982
relieve	1983
burden	1984
agencies	1985
Eight	1986
charities	1987
Relief	1988
Norwegian	1989
Danish	1990
Refugee	1991
Councils	1992
projects	1993
given	1994
approval	1995
umbrella	1996
slow	1997
reach	1998
Ministry	1999
Social	2000
Affairs	2001
oversees	2002
NGOs	2003
should	2004
Moreover	2005
attitudes	2006
hardening	2007
overwhelm	2008
services	2009
providing	2010
extra	2011
subsidised	2012
bread	2013
fuel	2014
goods	2015
managed	2016
register	2017
135000	2018
fraction	2019
trickling	2020
rules	2021
closed	2022
Only	2023
favoured	2024
categories	2025
applicants	2026
lorry	2027
drivers	2028
academics	2029
engineers	2030
allowed	2031
exceptions	2032
agonises	2033
pitfalls	2034
staying	2035
Iraqand	2036
leaving	2037
AMERICA	2038
stays	2039
bleed	2040
leaves	2041
lose	2042
everything	2043
Osama	2044
bin	2045
Ladens	2046
2004	2047
trap	2048
Americas	2049
commander	2050
General	2051
David	2052
Petraeus	2053
ambassador	2054
Ryan	2055
Crocker	2056
brief	2057
onwards	2058
divided	2059
Much	2060
decided	2061
brought	2062
Others	2063
Petraeuss	2064
surge	2065
starting	2066
longer	2067
mean	2068
architects	2069
invasion	2070
hoped	2071
Bush	2072
aimed	2073
rid	2074
weapons	2075
destruction	2076
WMD	2077
liberate	2078
dictatorship	2079
create	2080
proWestern	2081
democracy	2082
heart	2083
These	2084
high	2085
hopes	2086
burned	2087
ash	2088
voted	2089
freely	2090
present	2091
chaos	2092
ravaged	2093
Under	2094
occupation	2095
recruitingsergeant	2096
training	2097
toll	2098
certainly	2099
exceeds	2100
3700	2101
300	2102
coalition	2103
debate	2104
therefore	2105
defeat	2106
mitigate	2107
place	2108
distributed	2109
evenly	2110
carved	2111
autonomous	2112
peaceful	2113
enclave	2114
4article	2115
potentially	2116
explosive	2117
status	2118
Kirkuk	2119
southeastern	2120
provinces	2121
directed	2122
small	2123
British	2124
garrison	2125
part	2126
turf	2127
militias	2128
Badr	2129
brigade	2130
Mahdi	2131
affiliated	2132
blocks	2133
concentrated	2134
intensely	2135
overlapping	2136
wars	2137
consists	2138
Americans	2139
civilians	2140
sectarian	2141
Sunnis	2142
Shias	2143
alike	2144
simply	2145
unwanted	2146
occupiers	2147
2006	2148
92	2149
62	2150
approved	2151
reinforcement	2152
important	2153
change	2154
tactics	2155
deployed	2156
30000	2157
bringing	2158
grand	2159
total	2160
160000	2161
significant	2162
Casey	2163
aim	2164
protecting	2165
Instead	2166
moving	2167
pacifying	2168
return	2169
wake	2170
answer	2171
eye	2172
beholder	2173
interview	2174
Australian	2175
August	2176
31st	2177
approach	2178
pursuers	2179
defenders	2180
offbalance	2181
killings	2182
fallen	2183
quarter	2184
level	2185
weaponscache	2186
doubled	2187
enemy	2188
ignited	2189
Irans	2190
malign	2191
arming	2192
directing	2193
assessment	2194
progress	2195
authors	2196
Intelligence	2197
Estimate	2198
NIE	2199
measurable	2200
uneven	2201
improvements	2202
report	2203
16	2204
concluded	2205
steep	2206
escalation	2207
checked	2208
robust	2209
counterinsurgency	2210
operations	2211
modestly	2212
12	2213
overall	2214
influential	2215
Washington	2216
thinktankers	2217
visited	2218
JulyMichael	2219
OHanlon	2220
Kenneth	2221
Pollack	2222
Brookings	2223
Institutionreturned	2224
somewhat	2225
upbeat	2226
improved	2227
conditions	2228
alongside	2229
units	2230
competent	2231
commission	2232
James	2233
Jones	2234
retired	2235
marine	2236
general	2237
armys	2238
effectiveness	2239
limited	2240
interior	2241
dysfunctional	2242
riddled	2243
sectarianism	2244
stroke	2245
luck	2246
Anbar	2247
Even	2248
reports	2249
modest	2250
read	2251
utmost	2252
caution	2253
single	2254
news	2255
Sunnidominated	2256
supported	2257
repelled	2258
highhanded	2259
brutality	2260
controlled	2261
officers	2262
deemed	2263
province	2264
safer	2265
parts	2266
3rd	2267
surprise	2268
visit	2269
citing	2270
proof	2271
success	2272
possible	2273
Besides	2274
posing	2275
photos	2276
Nuri	2277
alMaliki	2278
sheikhs	2279
seeing	2280
extremists	2281
path	2282
To	2283
promised	2284
abandon	2285
our	2286
Addressing	2287
audience	2288
kind	2289
continues	2290
